status,path,disposition,target,reason
"D",".github/ISSUE_TEMPLATE/bug_report.md","keep-main","repository","Repository issue template was deleted only on cms."
"M",".gitignore","rebuild-for-monorepo","root/apps","Configuration must be reconciled when public and admin become separate workspaces."
"A",".vscode/tasks.json","review-developer-tooling","repository","Optional local task configuration; not required by either runtime."
"D","LICENSE","keep-main","repository","CMS deletion is unrelated to the admin extraction."
"M","README.md","rebuild-for-monorepo","root/apps","Configuration must be reconciled when public and admin become separate workspaces."
"D","brand-assets/website-bg.xcf","keep-main","repository","CMS deletion is unrelated to the admin extraction."
"A","cigar","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cigar.bat","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/__pycache__/config.cpython-313.pyc","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/commands/audit.py","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/commands/count.py","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/commands/fields.py","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/commands/fix.py","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/commands/importpy.py","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/commands/path.py","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/commands/schema.py","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/commands/search.py","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/config.json","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/config.py","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"A","cli/main.py","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"D","components/ageVerificationModal.js","keep-main","apps/public","Public component was deleted on cms; production remains authoritative."
"A","components/barcodeless.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"D","components/basicParagraph.js","keep-main","apps/public","Public component was deleted on cms; production remains authoritative."
"D","components/basicSection.js","keep-main","apps/public","Public component was deleted on cms; production remains authoritative."
"A","components/booleanInput.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"D","components/brandCard.js","keep-main","apps/public","Public component was deleted on cms; production remains authoritative."
"D","components/brandShowcase.js","keep-main","apps/public","Public component was deleted on cms; production remains authoritative."
"M","components/catalog.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"M","components/catalogCard.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"M","components/catalogContent.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"D","components/cigarCard.js","keep-main","apps/public","Public component was deleted on cms; production remains authoritative."
